train_loss,train_perplexity,val_loss,val_perplexity
3.361541337,28.83359893,2.405365749,11.08248295
1.884565317,6.583492091,1.415584912,4.118894952
1.308093935,3.699116234,1.068872638,2.912094665
1.042727596,2.836944508,0.927685036,2.528648666
0.86288238,2.369982048,0.823126903,2.277610582
0.710924101,2.035871741,0.74482493,2.106072693
0.579106975,1.784444166,0.660533819,1.935825439
0.468026416,1.596839584,0.612522203,1.845079199
0.376391279,1.457017122,0.566636016,1.762328623
0.309756588,1.36309328,0.538216732,1.712949488
0.253651172,1.288722184,0.515078413,1.673769742
0.205828187,1.228542107,0.506058989,1.658741179
0.167510117,1.182357252,0.494892148,1.640321318
0.138279168,1.148296073,0.487581585,1.628373371
0.112586648,1.119169227,0.481042869,1.617760636
0.092410181,1.096814622,0.482193533,1.619623206
0.078241895,1.081384208,0.484900765,1.624013842
0.070195481,1.072717856,0.484670257,1.623639536
0.064384235,1.066502108,0.48540934,1.624839985
0.061245373,1.063159753,0.485654561,1.625238479
